dog_count,primary_breed,address
1,Beagle,"1515 Carmen Drive , Jackson, MI 49202"
1,Beagle,"2120 Metamora Road , Oxford, MI 48371"
1,Beagle,"2293 33rd Street , Allegan, MI 49010"
1,Beagle,"3378 Griswold Road , Port Huron, MI 48060"
1,Beagle,"35 Campbell Rd. 65 N. Elk St., Sandusky, MI 48471"
1,Beagle,"740 Fuller Ave. NE , Grand Rapids, MI 49503"
1,Beagle,"Clinton, MI 49236"
1,Beagle,"Macomb, MI 48042"
1,Beagle,"Muskegon, MI 49442"
1,Beagle,"P.O. Box 83 , Coldwater, MI 49036"
1,Beagle,"PO Box 62 , Lake Orion, MI 48361"
1,Beagle,"Warren, MI 48089"
1,Belgian Shepherd / Malinois,"1367 S. M-33 , West Branch, MI 48661"
1,Belgian Shepherd / Malinois,"303 Valley Ave. , Alma, MI 48801"
1,Bernedoodle,"Grass Lake, MI 49240"
1,Bernese Mountain Dog,"Canton , MI 48187"
1,Bernese Mountain Dog,"Macomb, MI 48042"
1,Bichon Frise,"PO Box 251 , Paw Paw, MI 49079"
1,Black Labrador Retriever,"217 N. Fiske Road Mailing address only, Coldwater, MI 49036"
1,Black Labrador Retriever,"35 Campbell Rd. 65 N. Elk St., Sandusky, MI 48471"
1,Black Labrador Retriever,"8935 Thompson Rd. , Lake Odessa, MI 48849"
1,Black Labrador Retriever,"Birmingham, MI 48012"
1,Black Labrador Retriever,"Detroit, MI 48216"
1,Black Labrador Retriever,"Detroit, MI 48232"
1,Black Labrador Retriever,"Harrison, MI 48625"
1,Black Labrador Retriever,"P.O. Box 384 5786 Fairground Lane, Grayling, MI 49738"
1,Black Labrador Retriever,"PO Box 62 , Lake Orion, MI 48361"
1,Black Labrador Retriever,"fennville, MI 49408"
1,Black Labrador Retriever,"l536 Hackleburg Road , Cheboygan, MI 49721"
1,Black Mouth Cur,"1316 Lamont Ave , Kalamazoo, MI 49001"
1,Black Mouth Cur,"4660 M-88 Hwy PO Box 568, Bellaire, MI 49615"
1,Black Mouth Cur,"Charlotte, MI 48813"
1,Black Mouth Cur,"P.O. Box 190121 , Burton, MI 48519"
1,Black Mouth Cur,"P.O. Box 384 5786 Fairground Lane, Grayling, MI 49738"
