Address,Most Popular Breed,Number of Dogs
"2266 N Lapeer Road , Lapeer, MI 48446",English Bulldog,1
"2266 N Lapeer Road , Lapeer, MI 48446",Shepherd,1
"2266 N Lapeer Road , Lapeer, MI 48446",Staffordshire Bull Terrier,1
"2293 33rd Street , Allegan, MI 49010",American Staffordshire Terrier,1
"2293 33rd Street , Allegan, MI 49010",Beagle,1
"2293 33rd Street , Allegan, MI 49010",English Bulldog,1
"2293 33rd Street , Allegan, MI 49010",Great Pyrenees,1
"2293 33rd Street , Allegan, MI 49010",Mastiff,1
"2293 33rd Street , Allegan, MI 49010",Puggle,1
"2293 33rd Street , Allegan, MI 49010",Shar-Pei,1
"2293 33rd Street , Allegan, MI 49010",Yellow Labrador Retriever,1
"23451 Pinewood Street , Warren, MI 48091",Pit Bull Terrier,1
"23451 Pinewood Street , Warren, MI 48091",Terrier,1
"253 James Ave SE , Grand Rapids, MI 49503",Pug,1
"25503 Clara Lane , Southfield, MI 48034",Australian Shepherd,1
"25503 Clara Lane , Southfield, MI 48034",Cattle Dog,1
"25503 Clara Lane , Southfield, MI 48034",Labrador Retriever,1
"25503 Clara Lane , Southfield, MI 48034",Rottweiler,1
"25503 Clara Lane , Southfield, MI 48034",Shepherd,1
"25503 Clara Lane , Southfield, MI 48034",Staffordshire Bull Terrier,1
"25503 Clara Lane , Southfield, MI 48034",Terrier,1
"25799 Third St. , Grosse Ile, MI 48138",French Bulldog,1
"25799 Third St. , Grosse Ile, MI 48138",Staffordshire Bull Terrier,1
"25799 Third St. , Grosse Ile, MI 48138",Terrier,1
"2640 Marquette  Avenue , Muskegon, MI 49442",American Bulldog,1
"2640 Marquette  Avenue , Muskegon, MI 49442",American Staffordshire Terrier,1
"2640 Marquette  Avenue , Muskegon, MI 49442",Australian Shepherd,1
"2640 Marquette  Avenue , Muskegon, MI 49442",Cattle Dog,1
"2640 Marquette  Avenue , Muskegon, MI 49442",Mixed Breed,1
